prompt,completion
Generate a fantasy weapon of type: ,"Name: Frost Brand
Damage Type: 
Damage: 
Properties: 
Description: Weapon (any sword), very rare (requires attunement)"
Generate a name for a   with the following properties: ,Giant Slayer
Write a description for a weapon called 'Giant Slayer',"Weapon (any axe or sword), rare"
Generate a fantasy weapon of type: ,"Name: Giant Slayer
Damage Type: 
Damage: 
Properties: 
Description: Weapon (any axe or sword), rare"
Generate a name for a   with the following properties: ,Hammer of Thunderbolts
Write a description for a weapon called 'Hammer of Thunderbolts',"Weapon (maul), legendary"
Generate a fantasy weapon of type: ,"Name: Hammer of Thunderbolts
Damage Type: 
Damage: 
Properties: 
Description: Weapon (maul), legendary"
Generate a name for a   with the following properties: ,Holy Avenger
Write a description for a weapon called 'Holy Avenger',"Weapon (any sword), legendary (requires attunement by a paladin)"
Generate a fantasy weapon of type: ,"Name: Holy Avenger
Damage Type: 
Damage: 
Properties: 
Description: Weapon (any sword), legendary (requires attunement by a paladin)"
Generate a name for a   with the following properties: ,Javelin of Lightning
Write a description for a weapon called 'Javelin of Lightning',"Weapon (javelin), uncommon"
Generate a fantasy weapon of type: ,"Name: Javelin of Lightning
Damage Type: 
Damage: 
Properties: 
Description: Weapon (javelin), uncommon"
Generate a name for a   with the following properties: ,Luck Blade
Write a description for a weapon called 'Luck Blade',"Weapon (any sword), legendary (requires attunement)"
Generate a fantasy weapon of type: ,"Name: Luck Blade
Damage Type: 
Damage: 
Properties: 
Description: Weapon (any sword), legendary (requires attunement)"
Generate a name for a   with the following properties: ,Mace of Disruption
Write a description for a weapon called 'Mace of Disruption',"Weapon (mace), rare (requires attunement)"
Generate a fantasy weapon of type: ,"Name: Mace of Disruption
Damage Type: 
Damage: 
Properties: 
Description: Weapon (mace), rare (requires attunement)"
Generate a name for a   with the following properties: ,Mace of Smiting
Write a description for a weapon called 'Mace of Smiting',"Weapon (mace), rare"
Generate a fantasy weapon of type: ,"Name: Mace of Smiting
Damage Type: 
Damage: 
Properties: 
Description: Weapon (mace), rare"
Generate a name for a   with the following properties: ,Mace of Terror
Write a description for a weapon called 'Mace of Terror',"Weapon (mace), rare (requires attunement)"
Generate a fantasy weapon of type: ,"Name: Mace of Terror
Damage Type: 
Damage: 
Properties: 
Description: Weapon (mace), rare (requires attunement)"
Generate a name for a   with the following properties: ,Nine Lives Stealer
Write a description for a weapon called 'Nine Lives Stealer',"Weapon (any sword), very rare (requires attunement)"
Generate a fantasy weapon of type: ,"Name: Nine Lives Stealer
Damage Type: 
Damage: 
Properties: 
Description: Weapon (any sword), very rare (requires attunement)"
Generate a name for a   with the following properties: ,Oathbow
Write a description for a weapon called 'Oathbow',"Weapon (longbow), very rare (requires attunement)"
Generate a fantasy weapon of type: ,"Name: Oathbow
Damage Type: 
Damage: 
Properties: 
Description: Weapon (longbow), very rare (requires attunement)"
Generate a name for a   with the following properties: ,Scimitar of Speed
Write a description for a weapon called 'Scimitar of Speed',"Weapon (scimitar), very rare (requires attunement)"
Generate a fantasy weapon of type: ,"Name: Scimitar of Speed
Damage Type: 
Damage: 
Properties: 
Description: Weapon (scimitar), very rare (requires attunement)"
Generate a name for a   with the following properties: ,Sun Blade
Write a description for a weapon called 'Sun Blade',"Weapon (longsword), rare (requires attunement)"
Generate a fantasy weapon of type: ,"Name: Sun Blade
Damage Type: 
Damage: 
Properties: 
Description: Weapon (longsword), rare (requires attunement)"
Generate a name for a   with the following properties: ,Sword of Life Stealing
Write a description for a weapon called 'Sword of Life Stealing',"Weapon (any sword), rare (requires attunement)"
Generate a fantasy weapon of type: ,"Name: Sword of Life Stealing
Damage Type: 
Damage: 
Properties: 
Description: Weapon (any sword), rare (requires attunement)"
Generate a name for a   with the following properties: ,Sword of Sharpness
Write a description for a weapon called 'Sword of Sharpness',"Weapon (any sword that deals slashing damage), very rare (requires attunement)"
Generate a fantasy weapon of type: ,"Name: Sword of Sharpness
Damage Type: 
Damage: 
Properties: 
Description: Weapon (any sword that deals slashing damage), very rare (requires attunement)"
Generate a name for a   with the following properties: ,Sword of Wounding
Write a description for a weapon called 'Sword of Wounding',"Weapon (any sword), rare (requires attunement)"
Generate a fantasy weapon of type: ,"Name: Sword of Wounding
Damage Type: 
Damage: 
Properties: 
Description: Weapon (any sword), rare (requires attunement)"
Generate a name for a   with the following properties: ,Trident of Fish Command
Write a description for a weapon called 'Trident of Fish Command',"Weapon (trident), uncommon (requires attunement)"
Generate a fantasy weapon of type: ,"Name: Trident of Fish Command
Damage Type: 
Damage: 
Properties: 
Description: Weapon (trident), uncommon (requires attunement)"
Generate a name for a   with the following properties: ,Vicious Weapon
Write a description for a weapon called 'Vicious Weapon',"Weapon (any), rare"
Generate a fantasy weapon of type: ,"Name: Vicious Weapon
Damage Type: 
Damage: 
Properties: 
Description: Weapon (any), rare"
Generate a name for a   with the following properties: ,Vorpal Sword
Write a description for a weapon called 'Vorpal Sword',"Weapon (any sword that deals slashing damage), legendary (requires attunement)"
Generate a fantasy weapon of type: ,"Name: Vorpal Sword
Damage Type: 
Damage: 
Properties: 
Description: Weapon (any sword that deals slashing damage), legendary (requires attunement)"
Generate a name for a   with the following properties: ,"Weapon, +1, +2, or +3"
"Write a description for a weapon called 'Weapon, +1, +2, or +3'","Weapon (any), uncommon (+1), rare (+2), or very rare (+3)"
Generate a fantasy weapon of type: ,"Name: Weapon, +1, +2, or +3
Damage Type: 
Damage: 
Properties: 
Description: Weapon (any), uncommon (+1), rare (+2), or very rare (+3)"
Generate a name for a   with the following properties: ,"Weapon, +1"
"Write a description for a weapon called 'Weapon, +1'","Weapon (any), uncommon"
Generate a fantasy weapon of type: ,"Name: Weapon, +1
Damage Type: 
Damage: 
Properties: 
Description: Weapon (any), uncommon"
Generate a name for a   with the following properties: ,"Weapon, +2"
"Write a description for a weapon called 'Weapon, +2'","Weapon (any), rare"
Generate a fantasy weapon of type: ,"Name: Weapon, +2
Damage Type: 
Damage: 
Properties: 
Description: Weapon (any), rare"
Generate a name for a   with the following properties: ,"Weapon, +3"
"Write a description for a weapon called 'Weapon, +3'","Weapon (any), very rare"
Generate a fantasy weapon of type: ,"Name: Weapon, +3
Damage Type: 
Damage: 
Properties: 
Description: Weapon (any), very rare"
"Generate a name for a acid katana with the following properties: vampiric, sentient",Nether Axe
Write a description for a weapon called 'Nether Axe',"Said to have belonged to the Fey Queen, this katana can cleave through stone."
Generate a fantasy weapon of type: katana,"Name: Nether Axe
Damage Type: Acid
Damage: 2d6
Properties: Vampiric, Sentient
Description: Said to have belonged to the Fey Queen, this katana can cleave through stone."
Generate a name for a ice hammer with the following properties: vorpal,Lance of Reckoning
Write a description for a weapon called 'Lance of Reckoning',"Wielded long ago by Emperor Valorian, this hammer grants visions of the future. A thin layer of frost covers the weapon at all times."
Generate a fantasy weapon of type: hammer,"Name: Lance of Reckoning
Damage Type: Ice
Damage: 3d8
Properties: Vorpal
Description: Wielded long ago by Emperor Valorian, this hammer grants visions of the future. A thin layer of frost covers the weapon at all times."
Generate a name for a blood hammer with the following properties: sentient,Glaive of Doom
Write a description for a weapon called 'Glaive of Doom',Legend says this hammer was carved from a single crystal. It summons spectral allies in battle.
Generate a fantasy weapon of type: hammer,"Name: Glaive of Doom
Damage Type: Blood
Damage: 3d12
Properties: Sentient
Description: Legend says this hammer was carved from a single crystal. It summons spectral allies in battle."
Generate a name for a void blade with the following properties: ,Blade of exceptional sharpness
Write a description for a weapon called 'Blade of exceptional sharpness',"Forged in the depths of the Emerald Valley, this blade vibrates in the presence of evil."
Generate a fantasy weapon of type: blade,"Name: Blade of exceptional sharpness
Damage Type: Void
Damage: 3d10
Properties: 
Description: Forged in the depths of the Emerald Valley, this blade vibrates in the presence of evil."
"Generate a name for a psychic longbow with the following properties: enchanted, ancient",Glaive of Storms
Write a description for a weapon called 'Glaive of Storms',Legend says this longbow was grown from a magical seed. It absorbs spells cast at the wielder.
Generate a fantasy weapon of type: longbow,"Name: Glaive of Storms
Damage Type: Psychic
Damage: 3d4
Properties: Enchanted, Ancient
Description: Legend says this longbow was grown from a magical seed. It absorbs spells cast at the wielder."
Generate a name for a nature dagger with the following properties: ethereal,The Jade Rapier
Write a description for a weapon called 'The Jade Rapier',"the Last Dragon's favored dagger, known to summons spectral allies in battle."
Generate a fantasy weapon of type: dagger,"Name: The Jade Rapier
Damage Type: Nature
Damage: 2d8
Properties: Ethereal
Description: the Last Dragon's favored dagger, known to summons spectral allies in battle."
"Generate a name for a poison saber with the following properties: legendary, cursed",Whip of Power
Write a description for a weapon called 'Whip of Power',"This saber never requires sharpening, making it ancient wisdom."
Generate a fantasy weapon of type: saber,"Name: Whip of Power
Damage Type: Poison
Damage: 1d6
Properties: Legendary, Cursed
Description: This saber never requires sharpening, making it ancient wisdom."
"Generate a name for a holy longsword with the following properties: ancient, runic, balanced",Maul of unspeakable power
Write a description for a weapon called 'Maul of unspeakable power',"Lich King Morthus's favored longsword, known to creates illusions to confuse foes."
Generate a fantasy weapon of type: longsword,"Name: Maul of unspeakable power
Damage Type: Holy
Damage: 3d12
Properties: Ancient, Runic, Balanced
Description: Lich King Morthus's favored longsword, known to creates illusions to confuse foes."
Generate a name for a void shortbow with the following properties: ,The Frost Shortbow
Write a description for a weapon called 'The Frost Shortbow',"Forged in the depths of Celestial Kingdoms, this shortbow hungers for the blood of enemies."
Generate a fantasy weapon of type: shortbow,"Name: The Frost Shortbow
Damage Type: Void
Damage: 3d8
Properties: 
Description: Forged in the depths of Celestial Kingdoms, this shortbow hungers for the blood of enemies."
"Generate a name for a arcane longbow with the following properties: blessed, mythical, legendary",Ancient Longsword of the Fallen
Write a description for a weapon called 'Ancient Longsword of the Fallen',This longbow sends shivers down one's spine when under the light of the stars.
Generate a fantasy weapon of type: longbow,"Name: Ancient Longsword of the Fallen
Damage Type: Arcane
Damage: 3d10
Properties: Blessed, Mythical, Legendary
Description: This longbow sends shivers down one's spine when under the light of the stars."
Generate a name for a necrotic staff with the following properties: ,Flail of terrifying presence
Write a description for a weapon called 'Flail of terrifying presence',"When wielded with hatred, this staff emits blinding light on command."
Generate a fantasy weapon of type: staff,"Name: Flail of terrifying presence
Damage Type: Necrotic
Damage: 1d6
Properties: 
Description: When wielded with hatred, this staff emits blinding light on command."
"Generate a name for a force dagger with the following properties: enchanted, soulbound",Nova Lance of Oblivion
Write a description for a weapon called 'Nova Lance of Oblivion',"This dagger vibrates in the presence of evil, making it haunting beauty."
Generate a fantasy weapon of type: dagger,"Name: Nova Lance of Oblivion
Damage Type: Force
Damage: 2d12
Properties: Enchanted, Soulbound
Description: This dagger vibrates in the presence of evil, making it haunting beauty."
"Generate a name for a chaos trident with the following properties: elemental, blessed",Oracle Staff of Destruction
Write a description for a weapon called 'Oracle Staff of Destruction',"This trident freezes the air around it, making it perfect weight."
Generate a fantasy weapon of type: trident,"Name: Oracle Staff of Destruction
Damage Type: Chaos
Damage: 2d10
Properties: Elemental, Blessed
Description: This trident freezes the air around it, making it perfect weight."
"Generate a name for a arcane hammer with the following properties: legendary, vampiric",Blazing Maul of Souls
Write a description for a weapon called 'Blazing Maul of Souls',"When during the heat of battle, this hammer never misses its target."
Generate a fantasy weapon of type: hammer,"Name: Blazing Maul of Souls
Damage Type: Arcane
Damage: 1d4
Properties: Legendary, Vampiric
Description: When during the heat of battle, this hammer never misses its target."
Generate a name for a acid crossbow with the following properties: sentient,Mace of incredible durability
Write a description for a weapon called 'Mace of incredible durability',"A crossbow born from the tears of a goddess, it causes foes to flee in terror with every strike."
Generate a fantasy weapon of type: crossbow,"Name: Mace of incredible durability
Damage Type: Acid
Damage: 2d6
Properties: Sentient
Description: A crossbow born from the tears of a goddess, it causes foes to flee in terror with every strike."
"Generate a name for a ice bow with the following properties: vorpal, cursed",Havoc Halberd of Frost
Write a description for a weapon called 'Havoc Halberd of Frost',"Wielded long ago by Emperor Valorian, this bow ignites enemies on contact. A thin layer of frost covers the weapon at all times."
Generate a fantasy weapon of type: bow,"Name: Havoc Halberd of Frost
Damage Type: Ice
Damage: 1d4
Properties: Vorpal, Cursed
Description: Wielded long ago by Emperor Valorian, this bow ignites enemies on contact. A thin layer of frost covers the weapon at all times."
"Generate a name for a wind falchion with the following properties: balanced, legendary, enchanted",Wand of the Ancients
Write a description for a weapon called 'Wand of the Ancients',"When wielded by one of pure heart, this falchion returns to the wielder's hand when thrown."
Generate a fantasy weapon of type: falchion,"Name: Wand of the Ancients
Damage Type: Wind
Damage: 3d8
Properties: Balanced, Legendary, Enchanted
Description: When wielded by one of pure heart, this falchion returns to the wielder's hand when thrown."
Generate a name for a blood greatsword with the following properties: vampiric,The Ancient Glaive
Write a description for a weapon called 'The Ancient Glaive',"When covered in blood, this greatsword returns to the wielder's hand when thrown."
Generate a fantasy weapon of type: greatsword,"Name: The Ancient Glaive
Damage Type: Blood
Damage: 1d12
Properties: Vampiric
Description: When covered in blood, this greatsword returns to the wielder's hand when thrown."
Generate a name for a thunder longbow with the following properties: ,Wand of haunting beauty
Write a description for a weapon called 'Wand of haunting beauty',"When during the heat of battle, this longbow freezes foes with a touch."
Generate a fantasy weapon of type: longbow,"Name: Wand of haunting beauty
Damage Type: Thunder
Damage: 1d4
Properties: 
Description: When during the heat of battle, this longbow freezes foes with a touch."
"Generate a name for a nature maul with the following properties: legendary, soulbound, elemental",Axe of unparalleled balance
Write a description for a weapon called 'Axe of unparalleled balance',"This maul leaves shadowy trails when swung, making it exceptional sharpness."
Generate a fantasy weapon of type: maul,"Name: Axe of unparalleled balance
Damage Type: Nature
Damage: 2d6
Properties: Legendary, Soulbound, Elemental
Description: This maul leaves shadowy trails when swung, making it exceptional sharpness."
Generate a name for a radiant scythe with the following properties: ,Phantom Greataxe of Victory
Write a description for a weapon called 'Phantom Greataxe of Victory',"A scythe carved from a single crystal, it causes foes to flee in terror with every strike."
Generate a fantasy weapon of type: scythe,"Name: Phantom Greataxe of Victory
Damage Type: Radiant
Damage: 2d12
Properties: 
Description: A scythe carved from a single crystal, it causes foes to flee in terror with every strike."
Generate a name for a poison falchion with the following properties: ,The Knight's Whip
Write a description for a weapon called 'The Knight's Whip',"A falchion of ancient wisdom, summons spectral allies in battle upon its enemies."
Generate a fantasy weapon of type: falchion,"Name: The Knight's Whip
Damage Type: Poison
Damage: 1d4
Properties: 
Description: A falchion of ancient wisdom, summons spectral allies in battle upon its enemies."
Generate a name for a void longbow with the following properties: ,Jade Whip
Write a description for a weapon called 'Jade Whip',This longbow never requires sharpening when during the heat of battle.
Generate a fantasy weapon of type: longbow,"Name: Jade Whip
Damage Type: Void
Damage: 1d12
Properties: 
Description: This longbow never requires sharpening when during the heat of battle."
Generate a name for a ice greataxe with the following properties: spectral,Whisper Mace of the Eclipse
Write a description for a weapon called 'Whisper Mace of the Eclipse',"Wielded long ago by Captain Silverhand, this greataxe strikes with the force of lightning."
Generate a fantasy weapon of type: greataxe,"Name: Whisper Mace of the Eclipse
Damage Type: Ice
Damage: 1d12
Properties: Spectral
Description: Wielded long ago by Captain Silverhand, this greataxe strikes with the force of lightning."
Generate a name for a force blade with the following properties: ,Whip of royal heritage
Write a description for a weapon called 'Whip of royal heritage',"A blade recovered from the depths of the sea, it grows in power during the night with every strike."
Generate a fantasy weapon of type: blade,"Name: Whip of royal heritage
Damage Type: Force
Damage: 1d6
Properties: 
Description: A blade recovered from the depths of the sea, it grows in power during the night with every strike."
"Generate a name for a force greataxe with the following properties: soulbound, mythical",Hallowed Rapier of Nightmares
Write a description for a weapon called 'Hallowed Rapier of Nightmares',Legend says this greataxe was blessed by seven sages. It leaves wounds that never heal.
Generate a fantasy weapon of type: greataxe,"Name: Hallowed Rapier of Nightmares
Damage Type: Force
Damage: 2d10
Properties: Soulbound, Mythical
Description: Legend says this greataxe was blessed by seven sages. It leaves wounds that never heal."
Generate a name for a physical longbow with the following properties: sharpened,Hammer of mysterious origins
Write a description for a weapon called 'Hammer of mysterious origins',"This longbow never requires sharpening, making it boundless rage."
Generate a fantasy weapon of type: longbow,"Name: Hammer of mysterious origins
Damage Type: Physical
Damage: 1d6
Properties: Sharpened
Description: This longbow never requires sharpening, making it boundless rage."
"Generate a name for a shadow greatsword with the following properties: sentient, soulbound, spectral",Zephyr Bow
Write a description for a weapon called 'Zephyr Bow',Legend says this greatsword was assembled during a celestial alignment. It ignites in brilliant flames. The weapon seems to absorb light from its surroundings.
Generate a fantasy weapon of type: greatsword,"Name: Zephyr Bow
Damage Type: Shadow
Damage: 3d8
Properties: Sentient, Soulbound, Spectral
Description: Legend says this greatsword was assembled during a celestial alignment. It ignites in brilliant flames. The weapon seems to absorb light from its surroundings."
"Generate a name for a void spear with the following properties: balanced, mythical",Saber of boundless rage
Write a description for a weapon called 'Saber of boundless rage',"Forged in the depths of the Frozen Wastes, this spear freezes the air around it."
Generate a fantasy weapon of type: spear,"Name: Saber of boundless rage
Damage Type: Void
Damage: 1d12
Properties: Balanced, Mythical
Description: Forged in the depths of the Frozen Wastes, this spear freezes the air around it."
"Generate a name for a psychic greataxe with the following properties: sharpened, vampiric, ethereal",Chaos Hammer of Vengeance
Write a description for a weapon called 'Chaos Hammer of Vengeance',"A greataxe of haunting beauty, grows in power during the night upon its enemies."
Generate a fantasy weapon of type: greataxe,"Name: Chaos Hammer of Vengeance
Damage Type: Psychic
Damage: 3d6
Properties: Sharpened, Vampiric, Ethereal
Description: A greataxe of haunting beauty, grows in power during the night upon its enemies."
"Generate a name for a radiant staff with the following properties: ethereal, cursed, enchanted",Maul of Storms
Write a description for a weapon called 'Maul of Storms',Legend says this staff was blessed by seven sages. It binds victims in ghostly chains.
Generate a fantasy weapon of type: staff,"Name: Maul of Storms
Damage Type: Radiant
Damage: 2d6
Properties: Ethereal, Cursed, Enchanted
Description: Legend says this staff was blessed by seven sages. It binds victims in ghostly chains."
"Generate a name for a acid rapier with the following properties: vampiric, balanced, ethereal",Jinx Saber
Write a description for a weapon called 'Jinx Saber',"A rapier of terrifying presence, causes foes to flee in terror upon its enemies."
Generate a fantasy weapon of type: rapier,"Name: Jinx Saber
Damage Type: Acid
Damage: 1d4
Properties: Vampiric, Balanced, Ethereal
Description: A rapier of terrifying presence, causes foes to flee in terror upon its enemies."
"Generate a name for a nature blade with the following properties: ancient, enchanted, spectral",Dagger of boundless rage
Write a description for a weapon called 'Dagger of boundless rage',"Wielded long ago by Oracle Zephyrus, this blade returns to the wielder's hand when thrown."
Generate a fantasy weapon of type: blade,"Name: Dagger of boundless rage
Damage Type: Nature
Damage: 2d10
Properties: Ancient, Enchanted, Spectral
Description: Wielded long ago by Oracle Zephyrus, this blade returns to the wielder's hand when thrown."
"Generate a name for a thunder hammer with the following properties: soulbound, balanced",The Rune Trident
Write a description for a weapon called 'The Rune Trident',This hammer hums an ancient melody when under the light of the stars.
Generate a fantasy weapon of type: hammer,"Name: The Rune Trident
Damage Type: Thunder
Damage: 3d6
Properties: Soulbound, Balanced
Description: This hammer hums an ancient melody when under the light of the stars."
Generate a name for a force glaive with the following properties: ,Hammer of Light
Write a description for a weapon called 'Hammer of Light',"Said to have belonged to High Priestess Lunara, this glaive instills fear in enemies."
Generate a fantasy weapon of type: glaive,"Name: Hammer of Light
Damage Type: Force
Damage: 2d4
Properties: 
Description: Said to have belonged to High Priestess Lunara, this glaive instills fear in enemies."
"Generate a name for a chaos rapier with the following properties: blessed, sharpened, ethereal",Leviathan Dagger
Write a description for a weapon called 'Leviathan Dagger',"This rapier never requires sharpening, making it royal heritage."
Generate a fantasy weapon of type: rapier,"Name: Leviathan Dagger
Damage Type: Chaos
Damage: 2d12
Properties: Blessed, Sharpened, Ethereal
Description: This rapier never requires sharpening, making it royal heritage."
"Generate a name for a chaos trident with the following properties: cursed, sentient, soulbound",Longsword of ancient wisdom
Write a description for a weapon called 'Longsword of ancient wisdom',Legend says this trident was made from the bones of a god. It leaves wounds that never heal.
Generate a fantasy weapon of type: trident,"Name: Longsword of ancient wisdom
Damage Type: Chaos
Damage: 1d8
Properties: Cursed, Sentient, Soulbound
Description: Legend says this trident was made from the bones of a god. It leaves wounds that never heal."
Generate a name for a lightning whip with the following properties: corrupted,Frost Longsword of Souls
Write a description for a weapon called 'Frost Longsword of Souls',This whip freezes the air around it when facing overwhelming odds. Small sparks dance across the surface when wielded.
Generate a fantasy weapon of type: whip,"Name: Frost Longsword of Souls
Damage Type: Lightning
Damage: 1d6
Properties: Corrupted
Description: This whip freezes the air around it when facing overwhelming odds. Small sparks dance across the surface when wielded."
Generate a name for a arcane halberd with the following properties: ethereal,The Xenith Rapier
Write a description for a weapon called 'The Xenith Rapier',This halberd freezes the air around it when wielded by one of pure heart.
Generate a fantasy weapon of type: halberd,"Name: The Xenith Rapier
Damage Type: Arcane
Damage: 2d12
Properties: Ethereal
Description: This halberd freezes the air around it when wielded by one of pure heart."
"Generate a name for a holy whip with the following properties: enchanted, ancient",Whip of demonic corruption
Write a description for a weapon called 'Whip of demonic corruption',"Forged in the depths of the Shadow Realm, this whip hungers for the blood of enemies."
Generate a fantasy weapon of type: whip,"Name: Whip of demonic corruption
Damage Type: Holy
Damage: 1d8
Properties: Enchanted, Ancient
Description: Forged in the depths of the Shadow Realm, this whip hungers for the blood of enemies."
Generate a name for a ice flail with the following properties: blessed,Lance of incredible durability
Write a description for a weapon called 'Lance of incredible durability',"A flail of unparalleled balance, summons spectral allies in battle upon its enemies. A thin layer of frost covers the weapon at all times."
Generate a fantasy weapon of type: flail,"Name: Lance of incredible durability
Damage Type: Ice
Damage: 1d8
Properties: Blessed
Description: A flail of unparalleled balance, summons spectral allies in battle upon its enemies. A thin layer of frost covers the weapon at all times."
Generate a name for a wind wand with the following properties: ,Saber of the Hunt
Write a description for a weapon called 'Saber of the Hunt',"Said to have belonged to Captain Silverhand, this wand grants visions of the future."
Generate a fantasy weapon of type: wand,"Name: Saber of the Hunt
Damage Type: Wind
Damage: 1d4
Properties: 
Description: Said to have belonged to Captain Silverhand, this wand grants visions of the future."
Generate a name for a nature greatsword with the following properties: enchanted,The Venom Glaive
Write a description for a weapon called 'The Venom Glaive',"Said to have belonged to Oracle Zephyrus, this greatsword freezes foes with a touch."
Generate a fantasy weapon of type: greatsword,"Name: The Venom Glaive
Damage Type: Nature
Damage: 1d8
Properties: Enchanted
Description: Said to have belonged to Oracle Zephyrus, this greatsword freezes foes with a touch."
Generate a name for a thunder axe with the following properties: blessed,Longsword of Frost
Write a description for a weapon called 'Longsword of Frost',"When in the presence of magic, this axe grows stronger with each kill."
Generate a fantasy weapon of type: axe,"Name: Longsword of Frost
Damage Type: Thunder
Damage: 1d8
Properties: Blessed
Description: When in the presence of magic, this axe grows stronger with each kill."
"Generate a name for a wind saber with the following properties: legendary, elemental",Warden's Crossbow
Write a description for a weapon called 'Warden's Crossbow',"A saber recovered from the depths of the sea, it cleaves through reality itself with every strike."
Generate a fantasy weapon of type: saber,"Name: Warden's Crossbow
Damage Type: Wind
Damage: 1d6
Properties: Legendary, Elemental
Description: A saber recovered from the depths of the sea, it cleaves through reality itself with every strike."
Generate a name for a blood staff with the following properties: vorpal,Falchion of Power
Write a description for a weapon called 'Falchion of Power',"A staff of ancient wisdom, leaves trails of elemental energy upon its enemies."
Generate a fantasy weapon of type: staff,"Name: Falchion of Power
Damage Type: Blood
Damage: 3d10
Properties: Vorpal
Description: A staff of ancient wisdom, leaves trails of elemental energy upon its enemies."
Generate a name for a ice maul with the following properties: sentient,The Phantom Wand
Write a description for a weapon called 'The Phantom Wand',"When confronting ancient evils, this maul can cleave through stone."
Generate a fantasy weapon of type: maul,"Name: The Phantom Wand
Damage Type: Ice
Damage: 2d8
Properties: Sentient
Description: When confronting ancient evils, this maul can cleave through stone."
"Generate a name for a holy bow with the following properties: corrupted, berserker, sharpened",Saber of Destruction
Write a description for a weapon called 'Saber of Destruction',"This bow never requires sharpening, making it unparalleled balance."
Generate a fantasy weapon of type: bow,"Name: Saber of Destruction
Damage Type: Holy
Damage: 3d12
Properties: Corrupted, Berserker, Sharpened
Description: This bow never requires sharpening, making it unparalleled balance."
Generate a name for a lightning flail with the following properties: spectral,Arcane Scythe
Write a description for a weapon called 'Arcane Scythe',"King Thoran's favored flail, known to howls with the voices of past victims. Small sparks dance across the surface when wielded."
Generate a fantasy weapon of type: flail,"Name: Arcane Scythe
Damage Type: Lightning
Damage: 1d6
Properties: Spectral
Description: King Thoran's favored flail, known to howls with the voices of past victims. Small sparks dance across the surface when wielded."
"Generate a name for a void katana with the following properties: cursed, elemental, enchanted",Sword of the Cosmos
Write a description for a weapon called 'Sword of the Cosmos',"A katana constructed by clockwork gnomes, it drains the magic from spellcasters with every strike."
Generate a fantasy weapon of type: katana,"Name: Sword of the Cosmos
Damage Type: Void
Damage: 3d6
Properties: Cursed, Elemental, Enchanted
Description: A katana constructed by clockwork gnomes, it drains the magic from spellcasters with every strike."
Generate a name for a wind maul with the following properties: ,Saber of deadly precision
Write a description for a weapon called 'Saber of deadly precision',"Forged in the depths of the Shadow Realm, this maul sends shivers down one's spine."
Generate a fantasy weapon of type: maul,"Name: Saber of deadly precision
Damage Type: Wind
Damage: 1d8
Properties: 
Description: Forged in the depths of the Shadow Realm, this maul sends shivers down one's spine."
"Generate a name for a thunder whip with the following properties: soulbound, elemental, legendary",Halberd of the Void
Write a description for a weapon called 'Halberd of the Void',"Forged in the depths of Mount Doomspire, this whip pulses with arcane energy."
Generate a fantasy weapon of type: whip,"Name: Halberd of the Void
Damage Type: Thunder
Damage: 3d12
Properties: Soulbound, Elemental, Legendary
Description: Forged in the depths of Mount Doomspire, this whip pulses with arcane energy."
"Generate a name for a lightning maul with the following properties: berserker, legendary",Scythe of exceptional sharpness
Write a description for a weapon called 'Scythe of exceptional sharpness',This maul whispers dark secrets when facing demons or undead. Small sparks dance across the surface when wielded.
